PowerDemand,HeatDemand,PV,Wind
126.5252474,194.3745011,0,20.99801249
114.1407075,199.1743537,0,23.17169402
106.2775075,204.6983889,0,25.96191556
102.0828372,208.845822,0,23.17849554
100.5246516,212.8159437,0,24.04006428
101.007429,217.4200092,0,26.70779138
102.9211931,222.875244,0,28.37919557
111.0590269,229.3630877,0,28.43670797
132.7377536,236.9377718,0,31.76885793
157.5155061,245.6535275,0,53.26548094
163.6644128,251.9965337,80.21787476,51.6591193
162.4473514,254.1190172,262.2336693,52.11970315
163.0342005,252.506181,402.9484285,47.76210148
160.1173002,244.8794231,422.2837779,22.83330068
154.4656252,231.52901,380.9916725,15.74520718
150.5773885,216.1859885,300.7809677,22.57919918
145.0789303,202.1071176,160.0663086,47.34713397
141.6243259,190.5461408,19.46000967,38.20714446
149.1492926,181.1771483,0,39.6743886
163.5545593,175.8836992,0,55.75187343
159.1083823,174.5028781,0,65.09514139
146.3277914,174.915455,0,84.77492268
135.2759483,177.3747267,0,77.63008636
127.5659651,180.7939946,0,99.54942148
118.2284151,184.7967401,0,100.3416499
109.0961178,188.1836725,0,99.11254559
101.1490822,190.3384729,0,87.7777236
96.12472871,191.1166712,0,93.18226561
93.11242932,189.9786119,0,88.96955558
91.96474903,188.0616025,0,78.52942473
92.25961902,187.4304991,0,62.91176315
94.7024146,189.0275301,0,69.65177279
100.9900837,193.4503477,0,66.97193239
111.4319507,197.9273955,0,47.45913449
122.1397789,201.9880084,40.81042417,39.9220908
129.5028562,204.7625704,139.5595562,33.24259083
133.4922739,204.7799699,259.6926629,19.94151578
133.3853112,201.8266036,278.8982119,17.34869744
130.9136068,195.7580016,358.1350141,17.8732075
128.3233762,189.2183691,218.6543581,16.57446597
126.8403536,182.7473616,119.9978063,16.0162927
127.2219501,176.8379337,19.27768921,21.73994388
135.2441486,170.8381232,0,36.52028124
151.7019417,165.5446479,0,61.3284973
146.6920426,161.0119604,0,65.8034592
135.4522921,156.7510929,0,70.47753992
127.1236601,153.2327106,0,69.77326316
119.581348,150.239588,0,85.78996978
112.8282469,148.1559953,0,98.73988023
105.4131337,146.7607993,0,118.591181
98.23218194,145.6550492,0,121.0550057
93.3610452,145.7811164,0,113.6116579
90.3314005,146.7080295,0,108.8880527
89.11433904,149.2470436,0,100.0418179
89.27333757,152.6372271,0,87.67951072
91.02232138,156.2992305,0,66.75365897
95.95127577,160.7220219,0,68.44564265
103.8000213,165.0903593,0,61.92937257
112.4119598,168.6075253,19.14638887,40.15671557
119.5032942,170.9473245,276.4467056,26.06362374
122.6081018,172.5949599,157.2980015,24.17955409
123.3799674,173.0107758,118.9879037,15.26335096
121.7668551,172.2676704,97.70021938,17.38432029
119.6767471,170.7274822,78.55293051,20.02645538
118.8181551,168.6038141,40.32152292,25.79225877
119.0291895,165.3027794,0,31.24162207
126.9617706,160.8245208,0,30.88042044
147.6257976,156.1831241,0,35.43690311
145.3420006,150.8896215,0,33.5681945
136.487228,144.7810974,0,36.22929467
128.5315198,139.0890062,0,37.50218482
120.8995904,135.6611209,0,28.14039141
112.874501,132.9253973,0,41.65210699
104.0688734,130.9867545,0,61.25778281
97.11630136,131.0765038,0,80.97267003
93.96813049,133.8109643,0,81.73921695
92.62676108,137.5636389,0,90.53411768
93.25408255,140.102627,0,85.15181618
96.20278254,143.166732,0,97.74047794
104.7453399,146.3939728,0,83.78143957
127.8810712,148.5343712,0,101.5339061
152.0864291,148.3379487,0,106.8044756
159.1372911,147.6164072,58.98155055,126.6352645
159.015874,147.8911817,214.7719482,134.9869233
160.1982449,148.9953704,448.3071443,126.296205
159.5420146,149.7372127,391.3159988,144.1836683
156.5962055,151.1677641,468.962497,157.8306108
156.9633476,153.7575471,409.9079463,185.8271518
155.0495835,155.437798,233.2343953,198.8571845
151.6788147,154.4191043,39.90629186,199.1827854
155.3907076,151.2450293,0,205.0340094
169.3478875,147.0383432,0,217.9820093
162.7682393,141.0927098,0,207.1762178
151.9794664,133.4625819,0,213.6051569
142.873187,126.2488868,0,210.8423617
133.2320944,122.0601866,0,209.7992975
120.9024813,119.8678577,0,206.1536968
109.0296275,119.8855035,0,214.8072782
101.177991,122.5836463,0,192.8716349
97.02379312,127.9265002,0,187.9843958
95.45693489,133.6354635,0,182.363232
95.61593342,138.5654767,0,177.9228735
97.84769459,144.2379752,0,178.5577768
105.577914,149.8562413,0,175.548846
127.6006556,153.73556,0,176.4275196
153.7486864,155.6041103,0,152.3686799
160.0855005,157.0562257,135.543746,166.5466806
159.9958832,157.1136062,348.0947885,162.0129453
162.1033364,156.5875069,464.6229859,157.8582965
161.3603796,155.0469565,522.7378343,151.5990133
158.6024779,154.3037993,522.5143337,150.8334208
158.966729,154.3938213,405.7638357,139.6084238
156.8968573,153.3569429,174.715746,133.0716596
152.6270241,152.5555916,39.50209083,125.281283
157.3998708,151.2291212,0,131.6684098
170.5186949,149.4134605,0,109.8378414
163.4562693,147.2717462,0,103.7948387
153.5029614,144.9671154,0,91.84362059
143.9254682,143.9483905,0,71.03276101
134.5272097,143.8896618,0,59.62363109
123.7326551,143.6536218,0,50.36132391
111.7008028,144.3233467,0,49.71866625
103.5687507,145.6085699,0,54.5401166
99.48393399,147.9018243,0,52.3018169
97.70025959,151.443497,0,66.02355399
97.78987694,156.0474321,0,65.71139745
100.8571031,161.7199049,0,77.1288457
109.2753525,167.7728819,0,90.40551773
131.7953259,173.9345419,0,99.37860628
155.5468152,179.0635908,0,103.7996216
161.9819193,183.3414682,134.1497424,123.276667
162.0946637,186.0072423,478.6031216,123.056886
164.6010587,186.4592747,670.1649106,133.0282213
162.750894,185.6794876,517.3478205,121.4342389
159.359889,182.8713061,572.7488619,115.2758815
158.4810608,179.2660418,438.6411196,103.5601723
156.4574432,174.7512453,286.1242303,91.29546073
152.4102079,170.0372394,76.12925432,84.57899321
155.7462861,166.3196924,0,81.33279908
173.4558313,163.5258488,0,85.74267841
168.3794419,161.6014772,0,77.44273069
157.4374523,161.0357671,0,64.04679538
148.9758397,162.2993836,0,55.2561206
140.6443168,164.4143122,0,40.92596305
129.4045662,167.2214025,0,28.41383592
117.1067527,169.6300481,0,24.51947796
109.0209548,172.9802445,0,20.90571536
105.4825149,176.6927852,0,15.39930961
103.7132949,180.5540669,0,13.48808117
104.5082875,185.5927131,0,14.79087666
106.9742101,190.0696348,0,12.7943325
115.2854969,194.6010083,0,13.78484239
137.7303074,198.5889601,0,13.11390768
161.9732467,201.5443007,0,14.73641694
166.6911667,203.1050492,171.5442379,12.69254257
165.1705625,202.6189579,416.4226629,10.06631174
164.4449511,200.6799137,434.6013093,8.499414561
161.6928311,197.2916818,511.9083066,4.527430619
156.9488932,191.9837397,530.0278529,2.454987285
155.8041038,185.7700306,397.3440142,2.19235126
152.2541002,178.9728418,246.4473291,1.818112645
149.8402135,171.1139007,38.68109873,2.208853801
153.0230749,165.2157153,0,4.332642528
171.9294455,159.2700062,0,6.286249481
169.6601028,154.1937693,0,7.720976944
158.9869652,150.3675096,0,9.16441899
149.5222164,147.0663669,0,10.8548801
141.4826726,144.2904838,0,11.83592684
130.7054633,141.9893943,0,9.824403913
118.7545557,140.5940697,0,9.109091711
110.5299954,139.5968752,0,10.74666312
106.4567422,138.201236,0,14.94128702
104.5285237,137.1717061,0,21.25535077
105.0922457,137.1021724,0,28.01226985
107.2314987,137.014335,0,31.36947727
115.1467345,137.415686,0,32.48351504
137.14924,139.1212455,0,37.90395366
159.8224302,142.0765609,0,39.16578493
164.6791125,145.1588621,18.18347641,38.72174211
163.7048852,147.0637966,74.72058072,43.45605535
163.9159196,147.9505149,92.85393701,44.42184664
160.3167711,147.2793613,92.8119869,53.50371753
154.4800796,144.6884975,92.77005679,60.61988794
150.6091882,141.1918667,74.58562038,62.90305805
